id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_ree;id_reservatorio;nom_reservatorio;num_ordemcs;cod_usina;din_instante;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
SE;Sudeste/Centro-Oeste;RES;PARAIBA DO SUL ;SUDESTE             ;RPTOCO;TOCOS;95;180;2026-01-01;442.49;;15.05;5.0;;2.0;;2.0;3.0;5.3;;5.3;;0.03;5.03
SE;Sudeste/Centro-Oeste;RES;PARAIBA DO SUL ;SUDESTE             ;RLLAJE;LAJES;96;124;2026-01-01;412.69;;84.81;7.0;;7.0;;7.0;-3.0;2.49;7.8;2.49;-0.306;0.03;3.72
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL ;SUDESTE             ;RLFONT;FONTES;97;132;2026-01-01;412.69;;;7.0;25.0;;;25.0;;2.49;7.8;0.0;0.0;0.03;-97.0
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL ;SUDESTE             ;RLPPAS;PEREIRA PASSOS;98;133;2026-01-01;86.42;;97.85;7.0;123.0;0.0;;123.0;;2.49;97.95;;-0.014;0.03;-2.803
SE;Sudeste/Centro-Oeste;FIO;PARAIBA DO SUL ;SUDESTE             ;PBBBRA;BARRA BRAUNA;99;185;2026-01-01;150.66;126.16;31.56;52.92;48.0;0.0;;48.0;;62.96;;62.96;-0.006;1.6787;54.59
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PNUSBL;BATALHA;111;20;2026-01-01;792.29;755.66;37.62;73.79;84.0;0.0;0.0;84.0;;40.39;;40.39;0.282;0.12;74.19
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PNUHSF;S.DO FACÃO;112;21;2026-01-01;746.15;675.49;48.15;79.81;187.0;0.0;0.0;187.0;;63.78;;25.28;1.152;0.2;-1.29
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PREMBO;EMBORCAÇÃO;113;24;2026-01-01;640.91;519.66;43.04;297.06;126.0;0.0;;126.0;;173.49;;112.84;1.231;1.0839;127.76
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PRNPON;NOVA PONTE;114;25;2026-01-01;793.04;696.44;30.41;102.93;238.0;0.0;;238.0;;166.89;;166.89;2.642;0.74;106.31
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;ARMIRA;MIRANDA;115;26;2026-01-01;695.18;624.35;71.83;266.08;289.0;0.0;;289.0;;179.54;;6.18;0.377;0.8;22.77
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PNCPB1;C.BRANCO-1;116;27;2026-01-01;623.66;565.49;50.93;301.63;209.0;56.0;7.0;272.0;0.0;183.54;;0.77;0.197;0.81;-15.91
SE;Sudeste/Centro-Oeste;FIO;PARANAIBA      ;PARANA              ;PNCPB2;C.BRANCO-2;117;28;2026-01-01;564.79;518.66;29.99;267.81;225.0;53.0;;278.0;;192.5;;1.85;0.325;0.83;-11.26
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PNUCB4;CORUMBA-4;118;29;2026-01-01;839.06;770.93;34.59;65.53;76.0;8.0;;84.0;;92.38;;92.38;2.278;0.64;68.45
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PNUCB3;CORUMBA-3;119;203;2026-01-01;769.37;730.09;31.57;75.06;87.0;17.0;0.0;104.0;0.0;120.54;;20.23;0.64;0.7545;-9.72
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;COCORU;CORUMBA;120;30;2026-01-01;584.7;515.86;47.82;260.21;305.0;0.0;0.0;305.0;;295.22;;182.07;0.214;1.4645;135.13
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PRITUM;ITUMBIARA;121;31;2026-01-01;506.05;435.01;32.08;824.75;1095.0;0.0;2.0;1095.0;;775.21;;145.69;3.044;5.3;85.96
SE;Sudeste/Centro-Oeste;FIO;PARANAIBA      ;PARANA              ;PRCDOU;C. DOURADA;122;32;2026-01-01;430.83;397.09;76.78;878.72;652.0;6.0;;658.0;;795.47;;25.19;0.63;5.6145;-222.84
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PRSSIM;SÃO SIMÃO;123;33;2026-01-01;394.4;326.57;32.73;1240.83;1620.0;0.0;;1620.0;;1118.46;;326.56;4.089;13.0623;624.04
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PNCACU;CACU;124;311;2026-01-01;476.82;448.73;90.59;120.82;117.0;0.0;;117.0;;110.32;;110.32;0.13;0.37;121.32
SE;Sudeste/Centro-Oeste;FIO;PARANAIBA      ;PARANA              ;PNUHBC;B.COQUEIROS;125;312;2026-01-01;447.81;410.12;90.03;111.86;106.0;0.0;;106.0;;114.11;;4.57;0.201;0.4;-5.54
SE;Sudeste/Centro-Oeste;FIO;PARANAIBA      ;PARANA              ;PNUFRC;FOZ DO RIO CLARO;126;315;2026-01-01;353.82;327.03;90.53;110.15;112.0;0.0;;112.0;;121.53;;8.51;-0.056;0.4455;2.08
SE;Sudeste/Centro-Oeste;FIO;PARANAIBA      ;PARANA              ;PNST;SALTO;127;262;2026-01-01;446.49;394.79;98.48;102.78;89.0;0.0;0.0;89.0;0.0;111.59;;111.59;0.643;0.2555;103.68
SE;Sudeste/Centro-Oeste;FIO;PARANAIBA      ;PARANA              ;PNSV;S.R.VERDINHO;128;241;2026-01-01;370.41;326.5;90.57;102.95;108.0;0.0;0.0;108.0;0.0;114.17;;9.31;0.33;0.3055;12.08
SE;Sudeste/Centro-Oeste;RCU;PARANAIBA      ;PARANA              ;PNUHES;ESPORA;129;290;2026-01-01;578.69;530.98;21.86;52.0;48.0;4.0;;52.0;;56.55;;56.55;0.144;0.07;52.21
SE;Sudeste/Centro-Oeste;RCU;PARANAPANEMA   ;PARANAPANEMA        ;PPJURU;JURUMIRIM;133;47;2026-01-01;564.74;531.71;56.75;138.46;93.0;0.0;0.0;93.0;0.0;100.57;;100.57;5.322;1.07;144.85
SE;Sudeste/Centro-Oeste;FIO;PARANAPANEMA   ;PARANAPANEMA        ;PPPJU;PIRAJU;134;48;2026-01-01;531.5;504.8;100.0;102.92;100.0;0.0;1.0;101.0;0.0;100.34;;2.5;0.201;1.1255;10.17
SE;Sudeste/Centro-Oeste;FIO;PARANAPANEMA   ;PARANAPANEMA        ;PPPRNP;PARANAPANEMA;135;53;2026-01-01;504.76;488.37;85.83;83.41;83.0;0.0;1.0;84.0;;100.34;;0.0;;;-18.72
SE;Sudeste/Centro-Oeste;RCU;PARANAPANEMA   ;PARANAPANEMA        ;PPCHAV;CHAVANTES;136;49;2026-01-01;470.36;398.21;54.8;208.22;126.0;0.0;0.0;126.0;0.0;146.84;;51.93;3.873;1.9529;128.76
SE;Sudeste/Centro-Oeste;FIO;PARANAPANEMA   ;PARANAPANEMA        ;PPORI;OURINHOS;137;249;2026-01-01;398.07;385.71;114.43;138.46;138.0;0.0;2.0;140.0;0.0;149.54;;3.86;0.06;1.9894;1.72
SE;Sudeste/Centro-Oeste;FIO;PARANAPANEMA   ;PARANAPANEMA        ;PPSGCS;SALTO GRANDE CS;138;50;2026-01-01;384.41;366.2;90.08;305.0;252.0;28.0;0.0;280.0;0.0;245.37;;96.93;0.161;3.5516;157.06
SE;Sudeste/Centro-Oeste;FIO;PARANAPANEMA   ;PARANAPANEMA        ;PPCNO2;CANOAS II;139;51;2026-01-01;365.92;351.13;91.74;324.22;327.0;0.0;0.0;327.0;0.0;250.27;;7.6;0.292;3.7932;40.76
SE;Sudeste/Centro-Oeste;FIO;PARANAPANEMA   ;PARANAPANEMA        ;PPCNO1;CANOAS I;140;52;2026-01-01;350.91;334.1;90.58;351.0;351.0;0.0;0.0;351.0;0.0;263.97;;16.2;0.304;4.1219;23.88
SE;Sudeste/Centro-Oeste;RCU;PARANAPANEMA   ;PARANAPANEMA        ;PPCAPI;CAPIVARA;142;61;2026-01-01;333.08;284.42;90.94;1487.7;849.0;0.0;0.0;849.0;0.0;832.26;;443.49;3.154;10.9435;888.91
SE;Sudeste/Centro-Oeste;FIO;PARANAPANEMA   ;PARANAPANEMA        ;PPTAQU;TAQUARUÇU;143;62;2026-01-01;283.16;258.49;56.06;847.0;847.0;0.0;0.0;847.0;0.0;870.38;;54.16;0.376;11.3787;-1.02
SE;Sudeste/Centro-Oeste;FIO;PARANAPANEMA   ;PARANAPANEMA        ;PPROSA;ROSANA;144;63;2026-01-01;257.5;236.68;73.72;993.37;1189.0;0.0;0.0;1189.0;0.0;980.85;;126.98;0.731;13.5945;159.99
SE;Sudeste/Centro-Oeste;RCU;PARANA         ;PARANA              ;PNISOL;I. SOLTEIRA;147;34;2026-01-01;326.55;280.35;69.25;2579.7;2553.0;0.0;0.0;2553.0;-238.0;2688.01;;202.59;9.189;35.3094;-147.43
SE;Sudeste/Centro-Oeste;FIO;PARANA         ;PARANA              ;PNJUPI;JUPIA;148;45;2026-01-01;279.72;258.05;89.86;2816.76;3333.0;0.0;12.0;3345.0;0.0;3522.6;3509.3;268.02;2.787;96.5494;126.78
SE;Sudeste/Centro-Oeste;FIO;PARANA         ;PARANA              ;PNUHSD;SAO DOMINGOS;149;153;2026-01-01;344.25;309.23;24.56;75.52;40.0;29.0;0.0;69.0;0.0;74.92;;74.92;0.122;0.35;75.99
SE;Sudeste/Centro-Oeste;FIO;PARANA         ;PARANA              ;PNPPRI;PORTO PRIMAVERA;150;46;2026-01-01;257.26;236.57;104.03;3949.0;3946.0;0.0;3.0;3949.0;;4316.53;4303.23;562.66;6.801;104.4326;556.02
